newID,oldID,class_name
202,0, background
163,1, rice
278,2, eels on rice
279,3, pilaf
280,4, chicken-'n'-egg on rice
281,5, pork cutlet on rice
282,6, beef curry
185,7, sushi
283,8, chicken rice
86,9, fried rice
284,10, tempura bowl
20,11, bibimbap
191,12, toast
285,13, croissant
286,14, roll bread
287,15, raisin bread
288,16, chip butty
104,17, hamburger
151,18, pizza
289,19, sandwiches
290,20, udon noodle
291,21, tempura udon
292,22, soba noodle
293,23, ramen noodle
294,24, beef noodle
295,25, tensin noodle
296,26, fried noodle
297,27, spaghetti
298,28, Japanese-style pancake
188,29, takoyaki
299,30, gratin
300,31, sauteed vegetables
301,32, croquette
302,33, grilled eggplant
303,34, sauteed spinach
304,35, vegetable tempura
123,36, miso soup
305,37, potage
170,38, sausage
306,39, oden
307,40, omelet
308,41, ganmodoki
309,42, jiaozi
310,43, stew
311,44, teriyaki grilled fish
312,45, fried fish
100,46, grilled salmon
313,47, salmon meuniere
168,48, sashimi
314,49, grilled pacific saury
315,50, sukiyaki
316,51, sweet and sour pork
317,52, lightly roasted fish
318,53, steamed egg hotchpotch
319,54, tempura
320,55, fried chicken
321,56, sirloin cutlet
322,57, nanbanzuke
323,58, boiled fish
324,59, seasoned beef with potatoes
325,60, hambarg steak
326,61, beef steak
327,62, dried fish
328,63, ginger pork saute
329,64, spicy chili-flavored tofu
330,65, yakitori
331,66, cabbage roll
332,67, rolled omelet
333,68, egg sunny-side up
334,69, fermented soybeans
335,70, cold tofu
336,71, egg roll
337,72, chilled noodle
338,73, stir-fried beef and peppers
339,74, simmered pork
340,75, boiled chicken and vegetables
341,76, sashimi bowl
342,77, sushi bowl
343,78, fish-shaped pancake with bean jam
344,79, shrimp with chill source
345,80, roast chicken
346,81, steamed meat dumpling
347,82, omelet with fried rice
348,83, cutlet curry
349,84, spaghetti meat sauce
350,85, fried shrimp
351,86, potato salad
165,87, green salad
352,88, macaroni salad
353,89, Japanese tofu and vegetable chowder
123,90, pork miso soup
354,91, chinese soup
355,92, beef bowl
356,93, kinpira-style sauteed burdock
357,94, rice ball
358,95, pizza toast
359,96, dipping noodles
108,97, hot dog
81,98, french fries
360,99, mixed rice
361,100, goya chanpuru
0,101, others
362,102, beverage
